"purchaseObject.OKPD2.code";"purchaseObject.OKPD2.name";"purchaseObject.OKPD2.code.2dig"
"74.90.12.122";"Услуги по установлению рыночной или иной стоимости совокупности вещей, составляющих имущество лица, в том числе имущество определенного вида (движимое или недвижимое, включая предприятия)";"74"
"71.20.19.190";"Услуги по техническим испытаниям и анализу прочие, не включенные в другие группировки";"71"
"81.29.12.000";"Услуги по подметанию и уборке снега";"81"
"53.20.19.110";"Услуги почтовой связи прочие, не включенные в другие группировки";"53"
"26.70.14.190";"Фотокамеры прочие";"26"
"46.14.11.000";"Услуги по оптовой торговле компьютерами, программным обеспечением, электронным и телекоммуникационным оборудованием и прочим офисным оборудованием за вознаграждение или на договорной основе";"46"
"71.12.40.129";"Услуги в области метрологии прочие, не включенные в другие группировки";"71"
"20.13.21.290";"Неметаллы, не включенные в другие группировки, прочие";"20"
"20.59.52.194";"Реактивы химические общелабораторного назначения";"20"
"61.90.10.130";"Услуги по предоставление доступа к информационно-коммуникационной сети Интернет через сети, установленные между клиентом и провайдером услуг информационно-коммуникационной сети Интернет, не принадлежащие провайдеру услуг информационно-коммуникационно й сети Интернет или не находящиеся под его контролем, такие как доступ к информационно-коммуникационной сети Интернет по телефонной линии и т. д.";"61"
"61.10.13.000";"Услуги фиксированной телефонной связи в выделенных сетях связи";"61"
"84.24.19.000";"Услуги, связанные с обеспечением общественного порядка и безопасности, прочие";"84"
"45.20.30.000";"Мойка автотранспортных средств, полирование и аналогичные услуги";"45"
"61.20.30.110";"Услуги подвижной связи для целей передачи голоса";"61"
"33.13.11.000";"Услуги по ремонту и техническому обслуживанию инструментов и приборов для измерения, испытаний и навигации";"33"
"81.22.12.000";"Услуги по чистке и уборке специализированные";"81"
"75.00.11.000";"Услуги ветеринарные для домашних животных";"75"
"86.10.15.000";"Услуги больниц прочие, оказываемые врачами";"86"
"45.20.11.100";"Услуги по обычному (текущему) техническому обслуживанию легковых автомобилей и легких грузовых автотранспортных средств, кроме услуг по ремонту электрооборудования, шин и кузовов";"45"
"81.29.11.000";"Услуги по дезинфекции, дезинсекции и дератизации";"81"
"41.20.40.900";"Работы строительные по возведению нежилых зданий и сооружений прочие, не включенные в другие группировки";"41"
"28.23.13.110";"Машины счетные";"28"
"33.12.29.900";"Услуги по ремонту и техническому обслуживанию прочего оборудования специального назначения, не включенные в другие группировки";"33"
"43.21.10.140";"Работы по монтажу систем пожарной сигнализации и охранной сигнализации";"43"
"43.99.10.120";"Работы по гидроизоляции наружных конструкций зданий и сооружений и прочих подземных сооружений";"43"
"86.90.19.190";"Услуги в области медицины прочие, не включенные в другие группировки";"86"
"17.12.14.129";"Бумага печатная прочая";"17"
"25.30.12.113";"Оборудование котельное";"25"
NA;NA;NA
"80.10.12.000";"Услуги охраны";"80"
"53.10.13.130";"Услуги почтовой связи общего пользования по вручению (доставке) внутренней и международной посылочной почты";"53"
"53.10.19.000";"Услуги почтовой связи общего пользования прочие";"53"
"45.20.11.200";"Услуги по ремонту легковых автомобилей и легких грузовых автотранспортных средств, кроме услуг по ремонту электрооборудования, шин и кузовов";"45"
"33.20.29.000";"Услуги по монтажу прочего оборудования общего назначения, не включенного в другие группировки";"33"
"68.10.11.000";"Услуги по покупке и продаже жилых зданий и занимаемых ими земельных участков";"68"
"43.21.10.170";"Работы электромонтажные по прокладке телекоммуникационной проводки";"43"
"62.03.12.130";"Услуги по сопровождению компьютерных систем";"62"
"42.11.10.120";"Дороги автомобильные, в том числе улично-дорожная сеть, и прочие автомобильные и пешеходные дороги";"42"
"43.32.10.150";"Работы по обшивке стен планками, панелями и т. п.";"43"
"43.99.50.120";"Работы по монтажу сборных стальных строительных конструкций зданий и прочих сооружений, таких как мосты, мостовые краны или опоры линий электропередачи";"43"
"20.51.14.190";"Средства пиротехнические прочие, кроме фейерверков";"20"
"58.29.50.000";"Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение";"58"
"61.30.10.000";"Услуги спутниковой связи, кроме услуг для целей телеи радиовещания";"61"
"33.20.42.000";"Услуги по монтажу профессионального электронного оборудования";"33"
"21.20.10.145";"Ангиопротекторы";"21"
"43.33.10.000";"Работы по облицовке полов и стен плитками";"43"
"43.21.10.110";"Работы по монтажу основных сетей электроосвещения и электроснабжения или электроарматуры, требующие специальной квалификации, в зданиях, сооружениях и на прочих строительных объектах";"43"
"43.31.10.110";"Работы штукатурные внешние и внутренние с применением штукатурных сеток и дранок";"43"
"43.32.10.160";"Работы по установке передвижных (раздвижных) перегородок и подвесных потолков из металлических элементов";"43"
"43.99.60.000";"Работы каменные и кирпичные";"43"
"43.22.12.190";"Работы по монтажу систем отопления, вентиляции и кондиционирования воздуха прочие, не включенные в другие группировки";"43"
"43.32.10.110";"Работы по установке дверных и оконных блоков и коробок, навеске дверных полотен (кроме дверей автоматического действия и вращающихся дверей), окон, оконных створок, планчатых створок, дверей гаражного типа и т. п. из любых материалов";"43"
"53.10.11.000";"Услуги почтовой связи общего пользования, связанные с газетами и прочими периодическими изданиями";"53"
"26.30.11.150";"Средства связи радиоэлектронные";"26"
"27.20.23.190";"Батареи аккумуляторные прочие";"27"
"26.12.10.000";"Платы печатные смонтированные";"26"
"56.29.19.000";"Услуги по обеспечению питанием, осуществляемые по договору, прочие";"56"
"43.34.10.110";"Работы малярные во внутренних помещениях зданий";"43"
"93.11.10.000";"Услуги спортивных объектов";"93"
"61.10.52.000";"Услуги связи для целей кабельного вещания, пакет по выбору";"61"
"20.13.99.000";"Услуги по производству прочих основных неорганических химических веществ отдельные, выполняемые субподрядчиком";"20"
"01.49.19.440";"Собаки и кошки";"01"
"26.30.23.000";"Аппараты телефонные прочие, устройства и аппаратура для передачи и приема речи, изображений или других данных, включая оборудование коммуникационное для работы в проводных или беспроводных сетях связи (например, локальных и глобальных сетях)";"26"
"26.12.20.000";"Платы звуковые, видеоплаты, сетевые и аналогичные платы для машин автоматической обработки информации";"26"
"62.02.20.120";"Услуги по обследованию и экспертизе компьютерных систем";"62"
"26.30.11.190";"Аппаратура коммуникационная передающая с приемными устройствами прочая, не включенная в другие группировки";"26"
"10.32.19.112";"Соки из фруктов восстановленные прочие";"10"
"10.51.30.110";"Масло сливочное";"10"
"10.51.52.111";"Йогурт без вкусовых компонентов";"10"
"96.01.19.100";"Услуги прачечных";"96"
"10.51.11.120";"Молоко питьевое ультрапастеризованное (ультравысокотемпературно-обработанное)";"10"
"10.12.10.110";"Мясо кур, в том числе цыплят (включая цыплят-бройлеров) охлажденное";"10"
"26.51.12.190";"Инструменты и приборы прочие";"26"
"26.20.15.000";"Машины вычислительные электронные цифровые прочие, содержащие или не содержащие в одном корпусе одно или два из следующих устройств для автоматической обработки данных: запоминающие устройства, устройства ввода, устройства вывода";"26"
"26.30.11.120";"Средства связи, выполняющие функцию цифровых транспортных систем";"26"
"26.30.50.129";"Приборы и аппаратура для систем автоматического пожаротушения и пожарной сигнализации прочие, не включенные в другие группировки";"26"
"47.41.10.000";"Услуги по розничной торговле компьютерами в специализированных магазинах";"47"
"47.41.40.000";"Услуги по розничной торговле офисными машинами и оборудованием в специализированных магазинах";"47"
"23.12.13.120";"Изделия из стекла изолирующие многослойные";"23"
"58.19.19.190";"Продукция издательская печатная прочая, не включенная в другие группировки";"58"
"22.29.29.000";"Изделия пластмассовые прочие";"22"
"27.51.11.110";"Холодильники бытовые";"27"
"25.93.13.112";"Решетки, сетки и ограждения из проволоки из черных металлов";"25"
"45.11.21.000";"Услуги по розничной торговле новыми пассажирскими автотранспортными средствами в специализированных магазинах";"45"
"17.29.11.110";"Ярлыки и этикетки из бумаги";"17"
"26.51.51.140";"Гигрометры";"26"
"25.72.12.111";"Замки врезные из недрагоценных металлов";"25"
"17.23.14.110";"Бумага прочая, используемая для письма или печати или прочих графических целей, тисненая, гофрированная или перфорированная";"17"
"46.44.12.000";"Услуги по оптовой торговле чистящими средствами";"46"
"47.62.20.000";"Услуги по розничной торговле писчебумажными и канцелярскими товарами в специализированных магазинах";"47"
"17.21.13.000";"Ящики и коробки из гофрированной бумаги или гофрированного картона";"17"
"31.01.11.190";"Мебель офисная металлическая прочая";"31"
"46.49.23.000";"Услуги по оптовой торговле писчебумажными и канцелярскими товарами";"46"
"86.90.19.140";"Услуги санаторно-курортных организаций";"86"
"29.10.21.000";"Средства транспортные с двигателем с искровым зажиганием, с рабочим объемом цилиндров не более 1500 см3, новые";"29"
"95.22.10.259";"Услуги по ремонту прочих бытовых приборов";"95"
"29.10.24.000";"Средства автотранспортные для перевозки людей прочие";"29"
"22.23.14.130";"Ставни, жалюзи и аналогичные изделия и их комплектующие (запасные части) пластмассовые";"22"
"28.29.22.110";"Огнетушители";"28"
"45.11.39.000";"Услуги по розничной торговле легковыми автомобилями и грузовыми автомобилями малой грузоподъемности прочие, не включенные в другие группировки";"45"
"27.40.11.000";"Лампы герметичные узконаправленного света";"27"
"26.20.40.120";"Элементы замены типовые устройств ввода и вывода";"26"
"95.11.10.000";"Услуги по ремонту компьютеров и периферийного оборудования";"95"
"46.76.11.000";"Услуги по оптовой торговле бумагой и картоном";"46"
"47.30.20.000";"Услуги по розничной торговле смазочными материалами и охлаждающими жидкостями для автотранспортных средств в специализированных магазинах";"47"
"43.29.19.110";"Работы по монтажу лифтов, эскалаторов и движущихся тротуаров, требующие специальной квалификации, включая ремонт и техническое обслуживание";"43"
"62.09.20.190";"Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки";"62"
"61.10.43.000";"Услуги по широкополосному доступу к информационно-коммуникационной сети Интернет по проводным сетям";"61"
"30.30.32.120";"Аппараты летательные прочие с массой пустого снаряженного аппарата не более 2000 кг";"30"
"22.21.10.120";"Прутки, стержни пластмассовые";"22"
"13.92.21.190";"Изделия упаковочные прочие из текстильных материалов";"13"
"13.95.10.190";"Изделия из нетканых материалов прочие, кроме одежды";"13"
"17.12.14.121";"Бумага писчая и тетрадная";"17"
"20.59.43.130";"Антиобледенители";"20"
"26.51.45.190";"Приборы и аппаратура для измерения или контроля электрических величин прочие, не включенные в другие группировки";"26"
"26.51.66.190";"Инструменты, приборы и машины для измерения или контроля прочие, не включенные в другие группировки";"26"
"29.10.22.000";"Средства транспортные с двигателем с искровым зажиганием, с рабочим объемом цилиндров более 1500 см3, новые";"29"
"38.11.31.000";"Отходы неопасные бытовые, непригодные для повторного использования";"38"
"33.12.18.000";"Услуги по ремонту и техническому обслуживанию небытового холодильного и вентиляционного оборудования";"33"
"82.11.10.000";"Услуги в области административного обслуживания комплексные";"82"
"33.14.11.000";"Услуги по ремонту и техническому обслуживанию электродвигателей, генераторов, трансформаторов и распределительной и регулирующей аппаратуры для электричества";"33"
"65.12.21.000";"Услуги по страхованию гражданской ответственности владельцев автотранспортных средств";"65"
"58.11.19.000";"Книги, брошюры, листовки печатные прочие и подобные печатные материалы";"58"
"82.19.11.000";"Услуги по размножению документов";"82"
"85.31.11.000";"Услуги по профессиональному обучению";"85"
"32.99.53.190";"Модели, макеты и аналогичные изделия демонстрационные прочие";"32"
"96.01.12.231";"Услуги по огнезащитной обработке изделий";"96"
"43.91.19.110";"Работы строительные по устройству любых видов кровельных покрытий зданий и сооружений";"43"
"78.30.19.000";"Услуги в области трудовых ресурсов по обеспечению персоналом прочие, не включенные в другие группировки";"78"
"61.90.10.140";"Услуги по предоставлению телефонной связи и доступа к информационно-коммуникационной сети Интернет в общественных зданиях";"61"
"78.30.11.000";"Услуги в области трудовых ресурсов по обеспечению обслуживающим персоналом ЭВМ и телекоммуникационного оборудования прочие";"78"
"31.01.12.160";"Мебель для сидения, преимущественно с деревянным каркасом";"31"
"28.99.11.122";"Машины ниткошвейные";"28"
"28.25.20.190";"Вентиляторы прочие, кроме настольных, напольных, настенных, оконных, потолочных или вентиляторов для крыш";"28"
"26.30.21.000";"Аппараты телефонные проводные с беспроводной трубкой";"26"
"31.01.12.139";"Шкафы деревянные прочие";"31"
"27.51.24.110";"Электрочайники";"27"
