"purchaseObject.OKPD2.code";"purchaseObject.OKPD2.name";"purchaseObject.OKPD2.code.2dig"
"27.51.21.122";"Электромясорубки";"27"
"28.29.12.114";"Установки для очистки питьевых, сточных вод и улучшения качества питьевых вод";"28"
"42.99.21.111";"Строительство и ремонт станций погрузки и разгрузки";"42"
"71.11.31.000";"Услуги по территориальному планированию и планировке территории городских поселений, округов";"71"
"72.20.11.000";"Услуги, связанные с научными исследованиями и экспериментальными разработками в области экономики и предпринимательства";"72"
"10.61.40.000";"Отруби, высевки и прочие отходы от обработки зерновых культур";"10"
"28.93.17.119";"Машины для механической обработки прочие";"28"
"28.14.11.120";"Клапаны регулирующие";"28"
"47.30.10.000";"Услуги по розничной торговле моторным топливом в специализированных магазинах";"47"
"31.01.12.122";"Столы ученические деревянные для учебных заведений, включая школьные парты";"31"
"32.30.15.114";"Инвентарь для тенниса и бадминтона";"32"
"38.11.29.000";"Услуги по сбору прочих неопасных отходов, непригодных для повторного использования";"38"
"24.45.30.143";"Опилки, стружка и гранулы магниевые, отсортированные по размеру";"24"
"18.11.10.000";"Услуги по печатанию газет";"18"
"02.10.11.292";"Саженцы прочих деревьев и кустарников с закрытой корневой системой";"02"
"71.12.39.113";"Услуги по мониторингу загрязнения окружающей среды для физических и юридических лиц";"71"
"61.10.11.110";"Услуги по предоставлению внутризоновых, междугородных и международных телефонных соединений";"61"
"10.61.33.130";"Продукты из зерна хлебных злаков или зерновых продуктов готовые взорванные или обжаренные";"10"
"10.61.21.113";"Мука пшеничная хлебопекарная высшего сорта";"10"
"10.89.13.112";"Дрожжи хлебопекарные сушеные";"10"
"42.11.10.129";"Дороги автомобильные, в том числе улично-дорожная сеть, и прочие автомобильные и пешеходные дороги, не включенные в другие группировки";"42"
"19.20.21.114";"Бензин автомобильный с октановым числом более 80, но не более 92 по исследовательскому методу экологического класса К4";"19"
"38.11.59.000";"Отходы неопасные прочие, пригодные для повторного использования, не включенные в другие группировки";"38"
"28.29.12.112";"Фильтры очистки воды бытовые";"28"
"49.39.31.000";"Услуги по аренде городских и междугородных автобусов с водителем";"49"
"96.01.11.000";"Услуги по стирке с использованием машинавтоматов, действующих при опускании жетонов (монет)";"96"
"70.22.14.000";"Услуги консультативные по вопросам управления трудовыми ресурсами";"70"
"27.20.11.000";"Элементы первичные и батареи первичных элементов";"27"
"93.29.21.000";"Услуги по проведению фейерверков, световых и звуковых представлений";"93"
"58.19.11.200";"Прочая издательская продукция печатная";"58"
"13.92.11.110";"Одеяла (кроме электрических одеял)";"13"
"71.12.13.000";"Услуги по инженерно-техническому проектированию систем энергоснабжения";"71"
"63.99.10.110";"Услуги по поиску информации за вознаграждение или на договорной основе";"63"
"10.71.12.190";"Сладости восточные и прочие изделия мучные кондитерские, не включенные в другие группировки";"10"
"71.12.20.190";"Услуги по руководству строительными проектами прочие";"71"
"28.25.13.113";"Прилавки, прилавки-витрины холодильные";"28"
"28.93.15.127";"Шкафы пекарские";"28"
"10.82.23.129";"Карамель прочая, не включенная в другие группировки";"10"
"28.29.31.119";"Весы прочие";"28"
"13.99.99.230";"Услуги по изготовлению жалюзей из тканей по индивидуальному заказу населения";"13"
"31.01.11.129";"Шкафы металлические прочие";"31"
"23.99.12.110";"Материалы рулонные кровельные и гидроизоляционные";"23"
"28.99.11.190";"Оборудование брошюровочно-переплетное специальное";"28"
"71.12.14.000";"Услуги по инженерно-техническому проектированию туннелей, автомагистралей, улиц, транспортных развязок и подобных объектов";"71"
"66.19.91.000";"Услуги по финансовым консультациям";"66"
"25.40.14.190";"Детали прочего оружия";"25"
"71.20.12.000";"Услуги в области испытаний, исследований и анализа физико-механических свойств материалов и веществ";"71"
"49.39.34.000";"Услуги по нерегулярной чартерной перевозке на дальние расстояния, предоставляемые городскими и междугородными автобусами";"49"
"25.11.10.000";"Здания сборные из металла";"25"
"43.34.20.190";"Работы стекольные прочие, не включенные в другие группировки";"43"
"17.23.13.144";"Карточки учетные строгого учета";"17"
"01.19.10.190";"Культуры кормовые, не включенные в другие группировки";"01"
"29.20.21.190";"Контейнеры прочие, не включенные в другие в группировки";"29"
"42.21.24.120";"Работы по монтажу водозаборных насосов и систем водозаборных трубопроводов";"42"
"10.51.52.113";"Ряженка и варенец";"10"
"10.51.40.330";"Творог зерненый без вкусовых компонентов";"10"
"42.22.22.110";"Работы строительные по прокладке местных линий электропередачи и связи над землей или под землей";"42"
"42.13.10.120";"Дороги надземные автомобильные (автодорожные эстакады) для движения автотранспортных средств";"42"
"26.40.20.122";"Приемники телевизионные (телевизоры) цветного изображения с жидкокристаллическим экраном, плазменной панелью";"26"
"42.99.19.149";"Ограды (заборы) и ограждения прочие";"42"
"96.03.11.000";"Услуги по захоронению и кремации";"96"
"01.19.22.110";"Семена однолетних цветочных культур";"01"
"10.13.15.119";"Консервы мясные прочие, не включенные в другие группировки";"10"
"31.09.13.190";"Мебель деревянная прочая, не включенная в другие группировки";"31"
"42.91.20.150";"Работы подводные (проводимые водолазами, аквалангистами или с использованием прочих технологий) и различные гидротехнические работы";"42"
"26.40.41.000";"Микрофоны и подставки для них";"26"
"10.39.17.100";"Овощи (кроме картофеля), консервированные без уксуса или уксусной кислоты, прочие (кроме готовых овощных блюд)";"10"
"28.30.51.000";"Косилки (включая устройства режущие для установки на тракторе), не включенные в другие группировки";"28"
"71.11.24.000";"Услуги консультативные в области архитектуры";"71"
"78.30.14.000";"Услуги в области трудовых ресурсов по обеспечению персоналом прочие в области транспорта, складирования, логистики или промышленности";"78"
"43.12.11.140";"Работы по расчистке территории, удалению растительности";"43"
"43.29.19.140";"Работы по монтажу знаков (светящихся или нет)";"43"
"17.23.12.130";"Коробки, сумки, футляры, наборы почтовые из бумаги или картона, содержащие наборы бумажных канцелярских принадлежностей";"17"
"42.22.22.140";"Работы по ремонту местных линий электропередачи и связи";"42"
"41.20.20.690";"Сооружения прочего транспорта";"41"
"01.61.10.150";"Услуги по обрезке плодовых деревьев и виноградников";"01"
"96.03.12.129";"Прочие услуги похоронных бюро";"96"
"01.23.13.000";"Апельсины";"01"
"10.51.11.111";"Молоко питьевое коровье пастеризованное";"10"
"42.91.20.120";"Работы строительные по строительству плотин и дамб, включая ремонт";"42"
"26.30.50.114";"Приборы управления, приемно-контрольные и оповещатели охранные и охраннопожарные";"26"
"74.20.23.000";"Услуги в области фото- и видеосъемки событий";"74"
"35.30.11.120";"Энергия тепловая, отпущенная котельными";"35"
"42.11.10.110";"Автомагистрали, кроме надземных автодорог (эстакад)";"42"
"10.51.40.121";"Сыры полутвердые без вкусовых наполнителей";"10"
"01.13.90.000";"Овощи свежие, не включенные в другие группировки";"01"
"01.22.12.000";"Бананы";"01"
"01.24.21.000";"Груши";"01"
"10.72.12.114";"Кексы";"10"
"10.51.56.110";"Продукты термически обработанные после сквашивания йогуртные, кефирные и прочие";"10"
"03.11.20.126";"Минтай свежий или охлажденный";"03"
"38.21.21.000";"Услуги по санитарному захоронению мусора";"38"
"43.99.90.100";"Работы строительные специализированные, не включенные в другие группировки, кроме работ на объектах культурного наследия";"43"
"42.21.21.000";"Работы строительные по прокладке магистральных трубопроводов";"42"
"24.33.20.000";"Профили листовые из нелегированной стали";"24"
"42.91.10.150";"Плотины и аналогичные водоудерживающие сооружения и насыпи для береговых и прочих прибрежных участков";"42"
"01.30.10.113";"Луковицы тюльпанов";"01"
"60.20.31.000";"Программы телеканалов, кроме телевидения, доступного только по подписке";"60"
"17.21.15.130";"Ящики для хранения документов и аналогичные изделия, используемые в учреждениях, магазинах или в аналогичных целях, из бумаги";"17"
"32.30.15.231";"Мячи спортивные";"32"
"68.10.13.000";"Услуги по покупке и продаже пустующей земли, предназначенной для застройки жилыми зданиями";"68"
"56.29.20.120";"Услуги школьных столовых и кухонь";"56"
"17.23.13.193";"Папки и обложки из бумаги или картона";"17"
"13.20.43.000";"Ткани махровые полотенечные прочие и аналогичные махровые ткани (кроме узких тканей)";"13"
"32.91.12.110";"Щетки зубные, включая щетки для зубных протезов";"32"
"10.51.52.121";"Сметана от 9,0 % до 14,0 % жирности";"10"
"13.92.24.119";"Одеяла стеганые прочие";"13"
"28.99.32.120";"Качели";"28"
"29.20.23.130";"Прицепы и полуприцепы тракторные";"29"
"29.10.42.111";"Автомобили грузовые с бензиновым двигателем, имеющие технически допустимую максимальную массу не более 3,5 т";"29"
"28.92.29.000";"Автомобили-самосвалы, предназначенные для использования в условиях бездорожья";"28"
"52.21.21.000";"Услуги автобусных станций";"52"
"25.11.23.119";"Конструкции и детали конструкций из черных металлов прочие, не включенные в другие группировки";"25"
"43.39.19.120";"Работы по очистке новых зданий после завершения строительства";"43"
"71.12.17.000";"Услуги по инженерно-техническому проектированию производственных процессов и производств";"71"
"22.21.21.122";"Трубы напорные из полиэтилена";"22"
"49.39.12.000";"Услуги по междугородным специальным перевозкам пассажиров автомобильным транспортом по расписанию";"49"
"17.23.11.130";"Бумага копировальная или переводная прочая";"17"
"06.10.10.200";"Нефть товарная обезвоженная, обессоленная и стабилизированная";"06"
"26.70.16.110";"Кинопроекторы";"26"
"84.11.11.131";"Услуги органов государственной власти субъектов Российской Федерации (республик, краев, областей), кроме судебной власти, представительств исполнительных органов государственной власти субъектов Российской Федерации при Президенте Российской Федераци и";"84"
"95.11.10.110";"Услуги по ремонту электрокалькуляторов, персональных машин ЭВМ, компьютерной техники, включая ноутбуки, принтеры, сканеры, процессоры, мониторы, компьютерную клавиатуру";"95"
"25.91.11.000";"Цистерны, бочки, барабаны, канистры, ящики и аналогичные емкости для любых веществ (кроме газов) из железа, чугуна или стали, вместимостью от 50 до 300 л, не оснащенные механическим или тепловым оборудованием";"25"
"74.90.15.110";"Услуги по проведению оценки уязвимости объектов транспортной инфраструктуры и транспортных средств";"74"
"71.12.39.114";"Работы полевые и изыскания в области гидрометеорологии и смежных с ней областях, экспедиционные обследования объектов окружающей среды с целью оценки уровней загрязнения";"71"
"32.99.53.120";"Тренажеры для профессионального обучения";"32"
"20.59.11.130";"Фотобумаги";"20"
"29.32.30.220";"Колеса, ступицы и их детали";"29"
"10.82.22.149";"Конфеты, глазированные шоколадной и шоколадно-молочной глазурью прочие, не включенные в другие группировки";"10"
"20.30.24.119";"Краски полиграфические специального назначения прочие";"20"
"32.30.16.139";"Изделия сетевые прочие";"32"
"26.11.22.219";"Светодиоды прочие";"26"
"27.33.13.110";"Разъемы и розетки штепсельные";"27"
"47.41.50.000";"Услуги по розничной торговле офисной мебелью в специализированных магазинах";"47"
"41.20.20.290";"Здания нежилые, не включенные в другие группировки";"41"
"71.12.20.110";"Услуги заказчика-застройщика, генерального подрядчика";"71"
"43.99.40.190";"Работы бетонные и железобетонные прочие, не включенные в другие группировки";"43"
"29.10.59.130";"Средства транспортные для коммунального хозяйства и содержания дорог";"29"
"43.22.20.000";"Работы по монтажу газовых систем";"43"
"13.92.22.152";"Палатки из синтетических материалов";"13"
"42.13.10.110";"Мосты и путепроводы из любых материалов для всех типов сухопутного транспорта и для пешеходов";"42"
"32.30.14.116";"Инвентарь и оборудование для борьбы";"32"
"55.90.19.000";"Услуги по предоставлению временного жилья прочие, не включенные в другие группировки";"55"
"17.23.11.110";"Бумага копировальная";"17"
"43.99.50.110";"Работы по монтажу стальных каркасов зданий, требующие специальной квалификации";"43"
"26.60.11.121";"Аппаратура стерилизационная, основанная на использовании альфа-, бета- или гамма-излучений, применяемая в медицинских целях";"26"
"14.19.99.250";"Услуги по пошиву одежды в ансамбле (комплектная одежда) по индивидуальному заказу населения";"14"
"26.30.22.000";"Аппараты телефонные для сотовых сетей связи или для прочих беспроводных сетей";"26"
"10.91.10.182";"Комбикорма для лошадей";"10"
"42.21.22.130";"Работы строительные по прокладке местных трубопроводов газа и пара";"42"
"33.11.19.000";"Услуги по ремонту и техническому обслуживанию прочих металлоизделий";"33"
"59.20.31.190";"Издания нотные печатные прочие";"59"
"27.51.99.000";"Услуги по производству бытовых электрических приборов отдельные, выполняемые субподрядчиком";"27"
"26.40.32.110";"Магнитофоны";"26"
"26.30.50.113";"Устройства сигнально-пусковые охранные и охранно-пожарные";"26"
"52.21.23.000";"Услуги по эксплуатации мостов и тоннелей";"52"
"27.33.13.161";"Коммутаторы элементные, командоаппараты, контроллеры, переключатели барабанные, пускатели ручные, выключатели разные";"27"
"27.40.41.000";"Части ламп накаливания или газоразрядных ламп";"27"
"10.82.23.290";"Изделия кондитерские сахаристые прочие, не включенные в другие группировки";"10"
"27.90.11.900";"Машины электрические и аппаратура специализированные прочие, не включенные в другие группировки";"27"
"16.29.14.192";"Гранулы топливные (пеллеты) из отходов деревопереработки";"16"
"10.62.20.160";"Продукты кормовые крахмалопаточного производства";"10"
"16.10.23.120";"Стружка древесная";"16"
"41.20.40.100";"Работы по возведению объектов использования атомной энергии";"41"
"71.20.14.000";"Услуги по техническому осмотру автотранспортных средств";"71"
"26.30.50.115";"Системы тревожной сигнализации, противоугонные и охранные устройства для транспортных средств";"26"
"61.20.13.000";"Услуги подвижной связи в выделенных радиосетях";"61"
"01.19.31.150";"Семена однолетних трав";"01"
"56.29.20.190";"Услуги прочих столовых";"56"
"22.23.13.000";"Резервуары, цистерны, баки и аналогичные емкости пластмассовые вместимостью свыше 300 л";"22"
"90.02.12.000";"Услуги по организации показа спектаклей, концертов и иных зрелищных программ (произведений исполнительского искусства), включая мероприятия по продвижению исполнительских искусств";"90"
"28.24.11.000";"Инструменты ручные электрические";"28"
"23.61.12.151";"Конструкции и детали пролетных строений мостов железобетонные";"23"
"29.10.59.321";"Снегоочистители роторные";"29"
"39.00.11.121";"Услуги по специальной обработке загрязненных грунтовых вод с использованием механических методов очистки";"39"
"22.23.12.140";"Изделия санитарно-технические аналогичные пластмассовые";"22"
"20.30.12.130";"Эмали на основе сложных полиэфиров, акриловых или виниловых полимеров в неводной среде";"20"
"10.82.22.139";"Конфеты шоколадные, не включенные в другие группировки, прочие";"10"
"10.11.31.140";"Субпродукты пищевые крупного рогатого скота замороженные";"10"
"42.21.23.000";"Работы строительные по строительству оросительных систем (каналов), водоводов и водоводных конструкций, водоочистных станций, станций очистки сточных вод и насосных станций";"42"
"19.20.21.113";"Бензин автомобильный с октановым числом более 80, но не более 92 по исследовательскому методу экологического класса К3";"19"
"17.12.14.126";"Бумага печатная специального назначения";"17"
"71.12.19.100";"Услуги по инженерно-техническому проектированию прочих объектов, кроме объектов культурного наследия";"71"
"53.10.14.000";"Услуги почтовых отделений (объектов) дополнительные";"53"
"10.61.32.113";"Крупа гречневая";"10"
"10.71.11.111";"Хлеб недлительного хранения из пшеничной муки";"10"
"58.13.31.000";"Место для рекламы в печатных газетах";"58"
"45.20.21.515";"Топливозаправочные работы (бензин, дизельное топливо, газ)";"45"
"13.92.12.112";"Пододеяльники из хлопчатобумажных тканей";"13"
"73.12.14.000";"Услуги по продаже рекламы, связанной с мероприятиями";"73"
"29.20.23.120";"Прицепы-цистерны и полуприцепы-цистерны для перевозки нефтепродуктов, воды и прочих жидкостей";"29"
"27.51.21.111";"Пылесосы бытовые";"27"
"27.51.24.140";"Электрокастрюли-скороварки";"27"
"42.21.12.120";"Трубопровод местный для газа (газопровод)";"42"
"42.11.10.122";"Дорога автомобильная с усовершенствованным облегченным или переходным типом дорожного покрытия";"42"
"69.20.29.000";"Услуги в области бухгалтерского учета прочие";"69"
"43.99.40.120";"Работы, включающие производство опалубочных форм и арматуры";"43"
"32.40.20.130";"Наборы конструкторские и игрушки для конструирования прочие";"32"
"42.22.12.129";"Линии связи прочие";"42"
"55.20.11.000";"Услуги по предоставлению временного жилья для посетителей в молодежных общежитиях и домиках для отдыха";"55"
"47.59.10.000";"Услуги по розничной торговле мебелью в специализированных магазинах";"47"
"94.11.10.000";"Услуги, предоставляемые коммерческими и предпринимательскими членскими организациями";"94"
"47.99.90.000";"Услуги по прочей розничной торговле вне магазинов, нестационарных торговых объектов, рынков, не включенной в другие группировки";"47"
"01.29.30.190";"Материалы растительного происхождения, не включенные в другие группировки";"01"
"31.09.11.190";"Мебель металлическая хозяйственно-бытового назначения прочая, не включенная в другие группировки";"31"
"96.03.11.300";"Услуги по содержанию и обслуживанию кладбищ, уходу за могилами и местами захоронения";"96"
"27.51.28.160";"Панели варочные электрические";"27"
"25.99.11.112";"Раковины из нержавеющей стали";"25"
"23.32.12.120";"Дефлекторы, зонты для дымовых труб, детали дымоходов и вытяжных труб керамические";"23"
"31.02.10.120";"Шкафы кухонные";"31"
"27.51.11.120";"Морозильники бытовые";"27"
"28.93.15.128";"Шкафы жарочные";"28"
"25.99.12.112";"Изделия столовые, кухонные и бытовые и их детали из нержавеющей стали";"25"
"85.41.10.000";"Услуги по спортивному образованию и образованию в развлекательных целях";"85"
"31.01.11.120";"Шкафы офисные металлические";"31"
"15.12.12.191";"Кейсы для деловых бумаг, портфели, ранцы школьные и аналогичные изделия из натуральной кожи, сочетаний кожи, листов пластмассы, текстильных материалов, вулканизированных волокон или картона";"15"
"19.20.21.321";"Топливо дизельное зимнее вне классов";"19"
"32.99.51.110";"Изделия для новогодних и рождественских праздников";"32"
"43.32.10.130";"Работы по установке противопожарных дверей";"43"
"43.33.29.120";"Работы по настилу деревянных и дощатых полов и стенных покрытий, включая устройство паркетных и прочих деревянных полов";"43"
"45.20.21.222";"Услуги по ремонту и поверке контрольно-измерительных приборов";"45"
"74.90.20.142";"Услуги (работы) по разработке информационных и телекоммуникационных систем, защищенных с использованием средств защиты информации";"74"
"49.31.22.000";"Услуги по внутригородским и пригородным регулярным перевозкам пассажиров смешанного сообщения";"49"
"96.01.19.139";"Прочие услуги прачечных";"96"
"01.19.21.120";"Гвоздики срезанные";"01"
"94.99.12.000";"Услуги, предоставляемые группами в защиту окружающей среды";"94"
"43.34.10.140";"Работы по окрашиванию прочих инженерных сооружений";"43"
"71.12.35.120";"Услуги в области картографии, кроме услуг в области кадастровой деятельности";"71"
"01.19.21.150";"Хризантемы срезанные";"01"
"11.07.11.111";"Воды минеральные природные питьевые столовые";"11"
"01.23.12.000";"Лимоны и лаймы";"01"
"96.01.19.127";"Услуги по дезинфекции белья";"96"
"71.12.31.000";"Услуги геологические и геофизические консультативные";"71"
"30.20.31.115";"Машины для очистки путей от снега, мусора и растительности";"30"
"28.29.22.190";"Устройства механические для разбрызгивания, рассеивания или распыления прочие, кроме сельскохозяйственных";"28"
"26.40.43.110";"Усилители электрические звуковых частот";"26"
"33.20.33.000";"Услуги по монтажу промышленных машин и оборудования для металлургии";"33"
"32.50.22.126";"Бандажи и изделия к протезно-ортопедической продукции";"32"
"32.50.22.129";"Приспособления ортопедические прочие";"32"
"32.50.22.190";"Протезы органов человека, не включенные в другие группировки";"32"
"26.60.14.120";"Аппараты слуховые";"26"
"32.50.22.122";"Аппараты нижних конечностей";"32"
"27.90.20.120";"Приборы световой и звуковой сигнализации электрические";"27"
"17.22.12.130";"Изделия санитарно-гигиенического назначения прочие из бумажной массы, бумаги, целлюлозной ваты и полотна из целлюлозных волокон";"17"
"32.99.21.120";"Трости, трости-сидения";"32"
"74.30.12.000";"Услуги по устному переводу";"74"
"32.50.22.128";"Костыли";"32"
"32.50.22.125";"Корсеты, реклинаторы, обтураторы";"32"
"32.50.22.124";"Туторы нижних конечностей";"32"
"70.21.10.000";"Услуги по связи с общественностью и информации";"70"
"71.11.22.000";"Услуги в области архитектуры, связанные с проектами строительства нежилых зданий и сооружений";"71"
"22.21.30.110";"Плиты, листы пластмассовые, неармированные или не комбинированные с другими материалами";"22"
"53.10.12.000";"Услуги почтовой связи общего пользования, связанные с письменной корреспонденцией";"53"
"25.21.11.160";"Конвекторы отопительные из прочих металлов";"25"
"27.90.33.110";"Комплектующие (запасные части) прочего электрического оборудования, не имеющие самостоятельных группировок";"27"
"45.20.13.000";"Услуги по ремонту шин легковых автомобилей и легких грузовых автотранспортных средств, включая регулировку и балансировку колес";"45"
"52.21.24.000";"Услуги стоянок для транспортных средств";"52"
"63.91.12.000";"Услуги информационных агентств, предоставляемые аудиовизуальным средствам массовой информации";"63"
"47.19.20.000";"Услуги по розничной торговле большим товарным ассортиментом непродовольственной продукции в неспециализированных магазинах";"47"
"68.20.11.000";"Услуги по сдаче в аренду (внаем) собственных или арендованных жилых помещений";"68"
"96.01.19.111";"Услуги по стирке белья в прачечной самообслуживания";"96"
"19.20.21.325";"Топливо дизельное зимнее экологического класса К5";"19"
"19.20.29.190";"Масла нефтяные смазочные прочие, не включенные в другие группировки";"19"
"20.59.41.000";"Материалы смазочные";"20"
"19.20.21.315";"Топливо дизельное летнее экологического класса К5";"19"
"10.39.17.190";"Овощи (кроме картофеля), консервированные без уксуса или уксусной кислоты, прочие (кроме готовых овощных блюд), не включенные в другие группировки";"10"
"10.51.40.311";"Творог (кроме зерненого и произведенного с использованием ультрафильтрации и сепарирования) без вкусовых компонентов обезжиренный, не более 1,8 % жирности";"10"
"33.13.12.000";"Услуги по ремонту и техническому обслуживанию облучающего, электрического диагностического и электрического терапевтического оборудования, применяемого в медицинских целях";"33"
"95.22.10.200";"Услуги по ремонту бытовых приборов";"95"
"33.12.25.000";"Услуги по ремонту и техническому обслуживанию оборудования для производства пищевых продуктов, напитков и табачных изделий";"33"
"31.03.11.120";"Основы матрасные из металлического каркаса";"31"
"14.12.11.130";"Куртки (пиджаки) и блейзеры мужские производственные и профессиональные";"14"
"27.51.21.120";"Машины и приборы для механизации кухонных работ";"27"
"22.29.29.190";"Изделия пластмассовые прочие, не включенные в другие группировки";"22"
"68.32.13.120";"Услуги по управлению нежилым фондом, предоставляемые за вознаграждение или на договорной основе, кроме услуг по технической инвентаризации недвижимого имущества нежилого фонда";"68"
"52.21.19.110";"Услуги железнодорожных пассажирских вокзалов";"52"
"52.21.19.111";"Услуги по продаже билетов на железнодорожный транспорт";"52"
"38.11.11.000";"Услуги по сбору неопасных отходов городского хозяйства, пригодных для повторного использования";"38"
"28.25.99.000";"Услуги по производству промышленного холодильного и вентиляционного оборудования отдельные, выполняемые субподрядчиком";"28"
"25.99.29.190";"Изделия прочие из недрагоценных металлов, не включенные в другие группировки";"25"
"32.20.12.126";"Инструменты струнные щипковые национальные";"32"
"28.22.19.169";"Комплектующие (запасные части) лифтов прочие, не имеющие самостоятельных группировок";"28"
"28.25.13.112";"Камеры холодильные сборные";"28"
"61.20.12.000";"Услуги подвижной связи дополнительные";"61"
"20.41.44.190";"Средства чистящие прочие";"20"
"20.41.32.111";"Средства для мытья посуды";"20"
"20.41.31.120";"Мыло хозяйственное твердое";"20"
"10.42.10.111";"Маргарин твердый";"10"
"10.61.32.110";"Крупа из зерновых культур, не включенная в другие группировки";"10"
"10.61.32.114";"Пшено";"10"
"10.61.32.111";"Крупа овсяная";"10"
"10.61.32.116";"Крупа перловая";"10"
"10.61.31.111";"Крупа манная";"10"
"10.61.32.115";"Крупа ячневая";"10"
"10.12.20.110";"Мясо кур, в том числе цыплят (включая цыплят-бройлеров) замороженное";"10"
"10.51.11.121";"Молоко питьевое коровье ультрапастеризованное (ультравысокотемпературно-обработанное)";"10"
"10.39.25.130";"Фрукты сушеные";"10"
"01.11.75.110";"Зерно гороха";"01"
"10.89.19.231";"Кисели на плодово-ягодной основе (сухой кисель)";"10"
"72.19.29.000";"Услуги, связанные с научными исследованиями и экспериментальными разработками в области технических наук в области технологий, прочие, кроме биотехнологии";"72"
"72.19.13.000";"Услуги, связанные с научными исследованиями и экспериментальными разработками в области физики";"72"
"26.11.12.000";"Магнетроны, клистроны, приборы СВЧ и прочие электронные вакуумные или газонаполненные трубки";"26"
"26.70.23.190";"Приборы и инструменты оптические прочие, не включенные в другие группировки";"26"
"72.19.19.000";"Услуги, связанные с научными исследованиями и экспериментальными разработками в области прочих естественных наук";"72"
"28.96.10.120";"Оборудование для производства продукции из резины и пластмасс, не включенное в другие группировки";"28"
"72.19.50.000";"Работы оригинальные научных исследований и экспериментальных разработок в области естественных и технических наук, кроме биотехнологии";"72"
"13.99.99.100";"Услуги по производству прочих текстильных изделий, не включенных в другие группировки, отдельные, выполняемые субподрядчиком";"13"
"14.39.10.110";"Джемперы трикотажные или вязаные";"14"
"27.32.13.159";"Кабели, провода и шнуры связи прочие, не включенные в другие группировки";"27"
"28.41.11.000";"Станки для обработки металла путем удаления материала с помощью лазера, ультразвука и аналогичным способом";"28"
"26.51.42.120";"Осциллографы электронно-лучевые";"26"
"26.51.53.150";"Приборы и аппаратура для спектрального анализа, основанные на действии оптического излучения (ультрафиолетового, видимой части спектра, инфракрасного)";"26"
"27.40.33.130";"Прожекторы и аналогичные светильники узконаправленного света, предназначенные для использования со светодиодными лампами и прочими светодиодными источниками света";"27"
"16.23.11.130";"Двери, их коробки и пороги деревянные";"16"
"19.20.31.110";"Пропан сжиженный";"19"
"33.12.11.000";"Услуги по ремонту и техническому обслуживанию двигателей и турбин, кроме авиационных, автомобильных и мотоциклетных двигателей";"33"
"33.20.70.000";"Услуги по монтажу прочих изделий, не включенных в другие группировки";"33"
"43.31.10.120";"Работы по облицовке стен листами сухой штукатурки, обычно гипсовыми";"43"
"56.10.19.119";"Услуги прочих предприятий быстрого питания без предоставления мест для сидения";"56"
