"id","publishDate","notificationNumber","currentContractStage","customer.name","customer.inn","OKPD2.code","OKPD2.name","OKEI.code","OKEI.fullName","quantity","sumRUR","supplier.name","supplier.inn","supplier.OKTMO.code","supplier.OKTMO.name","OKEI.name"
"39790146","2018-01-31T16:26:06.422+05:00","0101300031313000152","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧32"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024196","10.51.11.111","лНКНЙН ОХРЭЕБНЕ ЙНПНБЭЕ ОЮЯРЕПХГНБЮММНЕ","112","","2560.0","88320.00","нАЫЕЯРБН Я НЦПЮМХВЕММНИ НРБЕРЯРБЕММНЯРЭЧ ""нОРрНПЦоПНДСЙР""","0268061455","80745000","ЦНПНД яРЕПКХРЮЛЮЙ","кХРП"
"39777134","2018-01-31T16:20:18.695+05:00","0101300031313000174","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧32"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024196","10.11.11.110","цНБЪДХМЮ ОЮПМЮЪ, НЯРШБЬЮЪ ХКХ НУКЮФДЕММЮЪ","796","","650.0","128700.00","юйжхнмепмне наыеярбн ""опндрнбюпш""","0268010010","80745000","ЦНПНД яРЕПКХРЮЛЮЙ","ьРСЙЮ"
"39780182","2018-01-31T14:34:31.986+05:00","0101300031314000112","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧32"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024196",NA,NA,"166","","100.0","7800.00","юйжхнмепмне наыеярбн ""опндрнбюпш""","0268010010","80745000","ЦНПНД яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39745993","2018-01-30T16:42:42.451+05:00","0101300031313000168","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 61"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024277","10.11.11.110","цНБЪДХМЮ ОЮПМЮЪ, НЯРШБЬЮЪ ХКХ НУКЮФДЕММЮЪ","796","","500.0","99000.00","яРЕПКХРЮЛЮЙЯЙНЕ НРЙПШРНЕ ЮЙЖХНМЕПМНЕ НАЫЕЯРБН ""оПНДРНБЮПШ""","0268010010","80745000001","Ц яРЕПКХРЮЛЮЙ","ьРСЙЮ"
"39743323","2018-01-30T15:54:38.312+05:00","0101300031314000104","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 61"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024277",NA,NA,"112","","9500.0","304000.00","""нАЫЕОХР""","0268003140","80745000001","Ц яРЕПКХРЮЛЮЙ","кХРП;^ЙСАХВЕЯЙХИ ДЕЖХЛЕРП"
"39749799","2018-01-30T17:25:37.194+05:00","0101300031314000104","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 61"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024277",NA,NA,"166","","400.0","28800.00","юйжхнмепмне наыеярбн ""опндрнбюпш""","0268010010","80745000001","Ц яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39750260","2018-01-30T17:41:53.551+05:00","0101300031314000104","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 61"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024277",NA,NA,"796","","10000.0","52000.00","юйжхнмепмне наыеярбн ""опндрнбюпш""","0268010010","80745000001","Ц яРЕПКХРЮЛЮЙ","ьРСЙЮ"
"39751826","2018-01-30T18:06:48.906+05:00","0101300031314000104","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧ 61"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024277",NA,NA,"166","","100.0","7800.00","юйжхнмепмне наыеярбн ""опндрнбюпш""","0268010010","80745000001","Ц яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
