"id","publishDate","notificationNumber","currentContractStage","customer.name","customer.inn","OKPD2.code","OKPD2.name","OKEI.code","OKEI.fullName","quantity","sumRUR","supplier.name","supplier.inn","supplier.OKTMO.code","supplier.OKTMO.name","OKEI.name"
"39452478","2018-01-22T14:27:47.785+05:00","0101300031314000331","E","МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 44"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН","0268031411",NA,NA,"796","","1.0","3450.00","Общество с ограниченной ответственностью ""Компания""Планета/Игрушка""","0278208562","80745000001","г Стерлитамак","Штука"
"39454190","2018-01-22T14:28:17.865+05:00","0101300031314000328","E","МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 44"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН","0268031411",NA,NA,"796","","1.0","2080.00","Общество с ограниченной ответственностью ""Компания""Планета/Игрушка""","0278208562","80745000001","г Стерлитамак","Штука"
"39450378","2018-01-22T12:42:01.783+05:00","0101300031314000301","E","МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД № 44"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН","0268031411",NA,NA,"796","","1.0","58100.00","Общество с ограниченной ответственностью ""Компания""Планета/Игрушка""","0278208562","80745000001","г Стерлитамак","Штука"
"39494977","2018-01-23T11:59:21.262+05:00","0101300031314000091","E","МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД №64"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН","0268024291",NA,NA,"796","","5600.0","179200.00","""Общепит""","0268003140","80745000","город Стерлитамак","Штука"
"39495825","2018-01-23T11:59:59.577+05:00","0101300031314000091","E","МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД №64"" ГОРОДСКОГО ОКРУГА ГОРОД СТЕРЛИТАМАК РЕСПУБЛИКИ БАШКОРТОСТАН","0268024291",NA,NA,"166","","2600.0","52000.00","""ОптТоргПродукт""","0268061455","80745000001","г Стерлитамак","Килограмм"
