"id","publishDate","notificationNumber","currentContractStage","customer.name","customer.inn","OKPD2.code","OKPD2.name","OKEI.code","OKEI.fullName","quantity","sumRUR","supplier.name","supplier.inn","supplier.OKTMO.code","supplier.OKTMO.name","OKEI.name"
"39442809","2018-01-22T16:51:42.050+04:00","0325200018114000055","E","ОБЛАСТНОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ЗАНЯТОСТИ НАСЕЛЕНИЯ ГОРОДА АСТРАХАНИ""","3015054935",NA,NA,"792","","1000.0","60000.00",NA,"301600194407","12701000001","г Астрахань","Человек"
"39585250","2018-01-25T14:47:54.255+04:00","0825300005514000108","E","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ДЕТСКИЙ САД  № 1 Г. КАМЫЗЯК""","3005006280",NA,NA,"112","","3150.0","141750.00",NA,"301802411460","12625000","Камызякский муниципальный район","Литр;^кубический дециметр"
"39625843","2018-01-30T12:34:09.148+04:00","0125300008711000101","E","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ТУЗУКЛЕЙСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""","3005002818","05.10.10.131","Уголь марки Д - длиннопламенный","168","","25.0","124750.00","«ТрансУголь-Р»    ","6155057530","60740000000","Населенные пункты, входящие в состав городского округа город Шахты","Тонна;^метрическая тонна (1000 кг)"
"39626106","2018-01-30T13:23:52.745+04:00","0125300008711000102","E","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ТУЗУКЛЕЙСКАЯ ОСНОВНАЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА""","3005002818","05.10.10.131","Уголь марки Д - длиннопламенный","168","","25.0","124750.00","«ТрансУголь-Р»    ","6155057530","60740000000","Населенные пункты, входящие в состав городского округа город Шахты","Тонна;^метрическая тонна (1000 кг)"
