"id","publishDate","notificationNumber","currentContractStage","customer.name","customer.inn","OKPD2.code","OKPD2.name","OKEI.code","OKEI.fullName","quantity","sumRUR","supplier.name","supplier.inn","supplier.OKTMO.code","supplier.OKTMO.name","OKEI.name"
"39526292","2018-01-24T12:06:54.800+03:00","0126100002017000039","E","МЕЖРАЙОННАЯ ИНСПЕКЦИЯ ФЕДЕРАЛЬНОЙ НАЛОГОВОЙ СЛУЖБЫ № 6 ПО БЕЛГОРОДСКОЙ ОБЛАСТИ","3114006604","84.24.11.000","Услуги органов охраны правопорядка","362","","11.0","325437.86","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧАСТНАЯ ОХРАННАЯ ОРГАНИЗАЦИЯ ""СОКОЛ""","3126018690","14620101","город Валуйки","Месяц"
"39540918","2018-01-25T11:05:31.612+03:00","0126100008117000033","E","МЕЖРАЙОННАЯ ИНСПЕКЦИЯ ФЕДЕРАЛЬНОЙ НАЛОГОВОЙ СЛУЖБЫ № 7 ПО БЕЛГОРОДСКОЙ ОБЛАСТИ","3120010775",NA,NA,"112","","4200.0","149100.00","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РН-КАРТ""","7743529527","45376000","муниципальный округ Замоскворечье","Литр"
"39558465","2018-01-24T16:08:33.018+03:00","0126100007217000050","E","ИНСПЕКЦИЯ ФЕДЕРАЛЬНОЙ НАЛОГОВОЙ СЛУЖБЫ ПО Г. БЕЛГОРОДУ","3123021768","81.10.10.000","Услуги по обслуживанию помещений комплексные","362","","12.0","2759823.00","Общество с ограниченной ответственостью Управляющая компания ""ЮжУралСтрой""","0274912190","80701000001","г Уфа","Месяц"
