"id","publishDate","notificationNumber","currentContractStage","customer.name","customer.inn","OKPD2.code","OKPD2.name","OKEI.code","OKEI.fullName","quantity","sumRUR","supplier.name","supplier.inn","supplier.OKTMO.code","supplier.OKTMO.name","OKEI.name"
"39677648","2018-01-29T14:47:30.759+05:00","0101300031314000123","E","лсмхжхоюкэмне юбрнмнлмне наыенапюгнбюрекэмне свпефдемхе ""япедмъъ наыенапюгнбюрекэмюъ ьйнкю ╧ 8"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268022880",NA,NA,"166","","75.72","22564.56","гюн  ╚нАЫЕОХР╩","0268003140","80745000001","Ц яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39685648","2018-01-29T16:59:19.368+05:00","0101300031314000123","E","лсмхжхоюкэмне юбрнмнлмне наыенапюгнбюрекэмне свпефдемхе ""япедмъъ наыенапюгнбюрекэмюъ ьйнкю ╧ 8"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268022880",NA,NA,"166","","14.58","349.92","гюн  ╚нАЫЕОХР╩","0268003140","80745000001","Ц яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39686426","2018-01-29T16:59:50.331+05:00","0101300031314000123","E","лсмхжхоюкэмне юбрнмнлмне наыенапюгнбюрекэмне свпефдемхе ""япедмъъ наыенапюгнбюрекэмюъ ьйнкю ╧ 8"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268022880",NA,NA,"166","","13.14","1773.90","гюн  ╚нАЫЕОХР╩","0268003140","80745000001","Ц яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
"39687695","2018-01-29T17:00:21.736+05:00","0101300031314000123","E","лсмхжхоюкэмне юбрнмнлмне наыенапюгнбюрекэмне свпефдемхе ""япедмъъ наыенапюгнбюрекэмюъ ьйнкю ╧ 8"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268022880",NA,NA,"796","","5.0","470.00","гюн  ╚нАЫЕОХР╩","0268003140","80745000001","Ц яРЕПКХРЮЛЮЙ","ьРСЙЮ"
"39690337","2018-01-29T18:03:33.557+05:00","0101300031314000107","E","лсмхжхоюкэмне юбрнмнлмне дньйнкэмне напюгнбюрекэмне свпефдемхе ""деряйхи яюд ╧32"" цнпндяйнцн нйпсцю цнпнд ярепкхрюлюй пеяосакхйх аюьйнпрнярюм","0268024196",NA,NA,"166","","100.0","7800.00","""оПНДРНБЮПШ""","0268010010","80745000001","Ц яРЕПКХРЮЛЮЙ","йХКНЦПЮЛЛ"
